video__kf_count,video__r_mean,video__g_mean,video__b_mean,video__r_std,video__g_std,video__b_std,video__sharpness,sample_id
1.0,66.4193132188585,41.325785319010414,47.53349304199219,90.14271783019694,61.619949713755844,69.99924604677442,801.2501587957391,120001
6.0,76.2103155944573,82.64771763679913,85.64013018823947,65.63298814990206,65.88810724990468,70.04130703206833,946.5564133162611,120002
2.0,47.335841708713104,43.47874789767795,37.895250956217446,70.2559147445464,67.71496246720098,62.31138317068624,517.3775956824884,120003
1.0,124.22781711154514,78.76425001356337,33.02667236328125,74.03624652994152,60.608424860612224,49.54674969846739,1376.3511277373627,120004
5.0,146.86782701280382,132.90087348090276,122.64283684624566,64.77058480096181,66.83727055107015,71.04083030075958,690.4760970778422,120006
2.0,128.8664779663086,101.68761952718098,76.86284298366971,69.71776751810089,69.4890514216649,61.182097696200145,983.2799081145874,120007
1.0,103.20661926269531,67.34326510959201,29.99295383029514,64.69751287631873,62.799602902140826,40.72966087073236,310.8968029889906,120009
2.0,147.67682647705078,142.6228968302409,143.43799675835504,63.25020401013869,65.67955042208763,67.07046615212415,485.22093254694346,120010
2.0,80.61829545762804,69.13629828559027,77.24689568413629,74.11003739259246,69.33634753337353,71.56536028717385,666.2814068254388,120011
6.0,62.26478746202256,58.305641456886576,52.99420279043692,60.865635245318835,55.67368518272712,51.539743665669356,892.0494804275186,120013
1.0,45.42050340440538,44.97571309407552,40.43712700737847,77.37450517095722,77.13658984149718,69.17245150856047,887.2045394513952,120014
5.0,130.1800350613064,95.68724873860677,67.34422743055555,97.5463062132219,79.25301278998114,75.60881952700576,445.65121528105266,120015
1.0,62.726959228515625,61.97236972384982,59.952429877387154,98.83080728907483,99.08663060251762,98.48514411070961,665.9732663335458,120016
1.0,198.02710130479602,197.22211201985678,197.16698371039496,35.088397720793665,35.58659798705528,35.997852134396226,273.73452645760995,120019
1.0,81.49345567491319,72.68629625108507,81.73422749837239,90.30931829449487,87.19165907496803,88.74003161386185,674.563551139434,120020
6.0,105.7867842309269,74.62554178120178,107.33618917582947,64.13358783070926,52.494029197249006,57.913492905179005,400.7614693157581,120022
1.0,49.955722384982636,38.44077724880643,32.57808939615885,78.92665149907404,68.22634694323119,62.23341307673449,533.8305047415197,120024
1.0,18.123860677083332,17.713331434461807,17.34049072265625,46.16351410504981,45.350051073545735,46.90312210910275,495.66803385416665,120025
2.0,88.71668921576605,90.99357520209418,144.83090294731988,68.96948037490523,62.44640063327461,59.705962721881086,1133.626239397951,120026
4.0,121.35543568929036,110.91014650132922,103.89908727010092,72.58946812791638,66.0565627101719,62.84623317268642,1097.9914319059665,120028
4.0,15.316214667426216,16.076079474555122,12.21847873263889,29.42125088263633,28.732316580929517,27.582055933217372,44.144146677069884,120030
1.0,79.99471537272136,80.69688924153645,78.21829562717014,70.39649039931615,61.21161495137273,63.92067410688888,632.3510630538543,120032
3.0,137.5790823477286,63.110138504593465,75.75247079354746,81.36898075047115,56.5563193653941,61.580616420271504,306.77749298696875,120033
1.0,166.01463996039496,116.4329104953342,111.30868191189236,53.982294650740585,76.05599047727617,71.25882555221746,576.8780246829925,120034
